temp,humid,weather,wind,amenity_temp,amenity_humid,aircon,action,cloth,label
-1.500,-0.646,0.622,1.240,-0.840,-1.550,1.222,3.964,-0.733,-1.231
-1.465,-0.940,0.622,1.240,-1.917,-1.550,1.222,-0.330,-0.733,-0.282
-2.379,-0.646,0.622,1.240,-1.917,-1.550,1.222,-0.330,1.409,-1.969
-1.430,-0.155,0.622,-0.769,0.237,0.281,1.222,1.817,1.409,-1.969
-1.359,-0.646,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-1.336
0.363,-2.608,0.622,-0.769,1.315,-3.382,1.222,1.817,1.409,-0.282
-1.148,0.336,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,-1.336
-1.535,-0.155,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.969
-1.254,-0.351,-0.957,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.336
-1.289,0.630,0.622,-0.769,0.237,0.281,1.222,3.964,-0.733,-1.969
-1.395,-0.057,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,-1.336
-2.098,-0.449,0.622,1.240,-0.840,0.281,1.222,-0.330,1.409,-1.969
-0.902,-2.608,0.622,-0.769,0.237,-1.550,1.222,-0.330,1.409,-1.969
-0.340,-2.608,0.622,-0.769,0.237,-1.550,1.222,-0.330,1.409,-0.914
-1.570,-1.038,0.622,-0.769,0.237,0.281,1.222,3.964,-0.733,-1.969
-1.430,-0.940,0.622,1.240,-0.840,-1.550,1.222,-0.330,-0.733,-1.969
-1.500,-0.744,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.019,-1.969
-1.430,-0.744,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-1.969
-1.113,-0.646,0.622,-0.769,0.237,-1.550,1.222,-0.330,-0.733,-1.969
-1.887,-0.744,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-1.336
-1.219,-0.547,-0.957,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.336
-1.148,-0.547,-0.957,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.969
-1.043,-0.940,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-0.651
